AÑO,PIB a precios corrientes (miles de millones de pesos),Valor Agregado Pereira,Tasa de Desocupación (TD) Risaralda,Tasa de Desocupación (TD) Pereira ]A.M.,Exportaciones (dólares FOB),Importaciones (dólares CIF),Remesas (millones de dólares),Total empresas Risaralda,Inversión Neta en Sociedades jurisdicción CCP (millones de pesos),Población Risaralda,Población Pereira,Incidencia de Pobreza Multidimensional Risaralda,IDC Valor normalizado,Ranking IDC,Valor normalizado,Posición ranking
2005,"  5,512 ",,,,,,,,,"  877,974 ","  426,566 ",,,,,
2006,"  6,342 ",,,,,,,,"  62,914 ","  884,021 ","  430,198 ",,,,,
2007,"  6,852 ",,  11.7 ,  13.3 ,,,,,"  96,549 ","  889,400 ","  433,632 ",,,,,
2008,"  7,438 ",,  12.5 ,  13.5 ,"  413,200,419 ","  258,538,203 ",,,"  90,152 ","  893,797 ","  436,494 ",,,,,
2009,"  7,969 ",,  17.8 ,  20.0 ,"  474,311,821 ","  214,426,608 ",,,"  65,428 ","  898,126 ","  439,370 ",,,,,
2010,"  8,420 ",,  18.1 ,  20.2 ,"  568,427,318 ","  266,809,312 ",,,"  56,130 ","  902,994 ","  442,493 ",,,,,
2011,"  8,980 ","  4,573 ",  14.9 ,  16.6 ,"  678,286,373 ","  330,730,202 ",,,"  54,660 ","  907,896 ","  445,438 ",,,,,
2012,"  9,629 ","  5,076 ",  14.9 ,  16.0 ,"  610,562,461 ","  490,691,999 ",,,"  75,415 ","  912,087 ","  448,174 ",,,,,
2013,"  10,613 ","  5,745 ",  12.9 ,  13.9 ,"  472,667,210 ","  440,431,302 ",,,"  84,258 ","  915,413 ","  450,422 ",,,,,
2014,"  11,728 ","  6,447 ",  12.4 ,  13.7 ,"  636,030,010 ","  484,273,138 ",  389.9 ,,"  75,593 ","  918,965 ","  452,676 ",,,,,
2015,"  12,656 ","  6,958 ",  10.9 ,  11.5 ,"  590,335,145 ","  498,204,697 ",  428.3 ,"  31,459 ","  118,706 ","  923,443 ","  455,559 ",,,,,
2016,"  13,891 ","  7,531 ",  9.6 ,  10.9 ,"  529,889,065 ","  475,915,308 ",  419.8 ,"  33,060 ","  107,161 ","  929,046 ","  459,033 ",,,,,
2017,"  14,922 ","  8,001 ",  8.2 ,  9.2 ,"  493,020,199 ","  492,845,699 ",  448.6 ,"  34,472 ","  153,890 ","  935,164 ","  462,668 ",,,,,
2018,"  15,877 ","  8,611 ",  8.0 ,  9.0 ,"  414,971,622 ","  546,834,150 ",  479.0 ,"  36,072 ","  146,507 ","  943,393 ","  467,261 ",11.6,,,,
2019,"  17,078 ","  9,220 ",  7.9 ,  8.8 ,"  434,215,173 ","  549,164,443 ",  493.3 ,"  36,125 ","  158,815 ","  956,212 ","  471,992 ",11.1,5.8,5,5.6,7
2020,"  16,410 ","  8,984 ",  14.6 ,  17.5 ,"  385,561,895 ","  481,266,023 ",  471.9 ,"  36,010 ","  140,799 ","  969,801 ","  477,044 ",13.1,6.0,4,5.7,5
2021,"  19,405 ","  10,415 ",  13.6 ,  13.8 ,"  367,876,361 ","  738,524,686 ",  501.4 ,"  39,050 ","  153,720 ","  979,983 ","  480,898 ",10.7,6.1,3,5.6,6
2022,"  23,880 ","  12,456 ",  10.6 ,  11.2 ,"  432,529,012 ","  894,236,965 ",  486.1 ,"  40,631 ","  256,659 ","  986,996 ","  483,139 ",10,6.1,3,5.8,6
2023,"  26,404 ","  13,890 ",  8.8 ,  9.6 ,"  568,716,760 ","  785,417,620 ",  484.0 ,"  40,251 ","  43,883 ","  991,338 ","  484,084 ",11.8,6.3,3,6.0,7
2024,"  28,675 ",,  9.7 ,  11.4 ,"  879,144,528 ","  823,465,699 ",  570.6 ,"  40,038 ","  151,793 ","  997,930 ","  486,042 ",9.5,6.2,3,5.9,7
,,,,,,,,,,,,,6.2,5,6.0,7
