Año,PIB,ln_PIB,delta_ln_PIB,VAP,ln_VAP,delta_ln_VAP,TD,ln_TD,delta_ln_TD,TD A.M.,ln_TD A.M.,delta_ln_TD A.M.,EXP,ln_EXP,delta_ln_EXP,IMP,ln_IMP,delta_ln_IMP,REM,ln_REM,delta_ln_REM,EMP,ln_EMP,delta_ln_EMP,INV,ln_INV,delta_ln_INV,POB Risaralda,ln_POB Risaralda,delta_ln_POB Risaralda,POB Pereira,ln_POB Pereira,delta_ln_POB Pereira,IPM,IDC,Ranking IDC,Valor normalizado,Posición ranking
2005.0,5512.0,8.6147,,,,,,,,,,,,,,,,,,,,,,,,,,877974.0,13.6854,,426566.0,12.9635,,10.109793434842748,6.084745361925833,,,
2006.0,6342.0,8.7549,0.1402,,,,,,,,,,,,,,,,,,,,,,62914.0,11.0495,,884021.0,13.6922,0.0068,430198.0,12.972,0.0085,9.928552023034351,6.163919766813664,,,
2007.0,6852.0,8.8323,0.0774,,,,11.7,2.4596,,13.3,2.5878,,,,,,,,,,,,,,96549.0,11.4778,0.4283,889400.0,13.6983,0.0061,433632.0,12.98,0.008,11.900756942788423,6.017800313422678,,,
2008.0,7438.0,8.9144,0.0821,,,,12.5,2.5257,0.0661,13.5,2.6027,0.0149,413200419.0,19.8394,,258538203.0,19.3706,,,,,,,,90152.0,11.4093,-0.0685,893797.0,13.7032,0.0049,436494.0,12.9865,0.0065,11.461170418126418,6.086261589636275,,,
2009.0,7969.0,8.9833,0.0689,,,,17.8,2.8792,0.3535,20.0,2.9957,0.393,474311821.0,19.9774,0.138,214426608.0,19.1835,-0.1871,,,,,,,65428.0,11.0887,-0.3206,898126.0,13.7081,0.0049,439370.0,12.9931,0.0066,10.307500762031808,5.9006810872757045,,,
2010.0,8420.0,9.0384,0.0551,,,,18.1,2.8959,0.0167,20.2,3.0057,0.01,568427318.0,20.1584,0.181,266809312.0,19.402,0.2185,,,,,,,56130.0,10.9354,-0.1533,902994.0,13.7135,0.0054,442493.0,13.0002,0.0071,10.81507641433167,6.180572152027215,,,
2011.0,8980.0,9.1028,0.0644,4573.0,8.4279,,14.9,2.7014,-0.1945,16.6,2.8094,-0.1963,678286373.0,20.3351,0.1767,330730202.0,19.6168,0.2148,,,,,,,54660.0,10.9089,-0.0265,907896.0,13.7189,0.0054,445438.0,13.0068,0.0066,12.071957797193186,5.8027578544751615,,,
2012.0,9629.0,9.1725,0.0697,5076.0,8.5323,0.1044,14.9,2.7014,0.0,16.0,2.7726,-0.0368,610562461.0,20.2299,-0.1052,490691999.0,20.0113,0.3945,,,,,,,75415.0,11.2308,0.3219,912087.0,13.7235,0.0046,448174.0,13.0129,0.0061,10.643891360916415,6.218186431125949,,,
2013.0,10613.0,9.2698,0.0973,5745.0,8.6561,0.1238,12.9,2.5572,-0.1442,13.9,2.6319,-0.1407,472667210.0,19.9739,-0.256,440431302.0,19.9033,-0.108,,,,,,,84258.0,11.3416,0.1108,915413.0,13.7271,0.0036,450422.0,13.0179,0.005,9.631139563226256,6.225840111788083,,,
2014.0,11728.0,9.3697,0.0999,6447.0,8.7714,0.1153,12.4,2.5177,-0.0395,13.7,2.6174,-0.0145,636030010.0,20.2708,0.2969,484273138.0,19.9982,0.0949,389.9,5.9659,,,,,75593.0,11.2331,-0.1085,918965.0,13.731,0.0039,452676.0,13.0229,0.005,11.918613019223407,5.968063966064125,,,
2015.0,12656.0,9.4459,0.0762,6958.0,8.8476,0.0762,10.9,2.3888,-0.1289,11.5,2.4423,-0.1751,590335145.0,20.1962,-0.0746,498204697.0,20.0265,0.0283,428.3,6.0598,0.0939,31459.0,10.3564,,118706.0,11.6844,0.4513,923443.0,13.7359,0.0049,455559.0,13.0293,0.0064,10.44742327693814,5.872101860120777,,,
2016.0,13891.0,9.539,0.0931,7531.0,8.9268,0.0792,9.6,2.2618,-0.127,10.9,2.3888,-0.0535,529889065.0,20.0882,-0.108,475915308.0,19.9808,-0.0457,419.8,6.0398,-0.02,33060.0,10.4061,0.0497,107161.0,11.5821,-0.1023,929046.0,13.7419,0.006,459033.0,13.0369,0.0076,12.43277175254742,5.9970387751846355,,,
2017.0,14922.0,9.6106,0.0716,8001.0,8.9873,0.0605,8.2,2.1041,-0.1577,9.2,2.2192,-0.1696,493020199.0,20.0161,-0.0721,492845699.0,20.0157,0.0349,448.6,6.1061,0.0663,34472.0,10.4479,0.0418,153890.0,11.944,0.3619,935164.0,13.7485,0.0066,462668.0,13.0448,0.0079,11.475122434368478,5.845306743568335,,,
2018.0,15877.0,9.6726,0.062,8611.0,9.0608,0.0735,8.0,2.0794,-0.0247,9.0,2.1972,-0.022,414971622.0,19.8437,-0.1724,546834150.0,20.1197,0.104,479.0,6.1717,0.0656,36072.0,10.4933,0.0454,146507.0,11.8948,-0.0492,943393.0,13.7572,0.0087,467261.0,13.0546,0.0098,11.6,5.885560636012423,,,
2019.0,17078.0,9.7455,0.0729,9220.0,9.1291,0.0683,7.9,2.0669,-0.0125,8.8,2.1748,-0.0224,434215173.0,19.8891,0.0454,549164443.0,20.1239,0.0042,493.3,6.2011,0.0294,36125.0,10.4947,0.0014,158815.0,11.9755,0.0807,956212.0,13.7707,0.0135,471992.0,13.0647,0.0101,11.1,5.8,5.0,5.6,7.0
2020.0,16410.0,9.7056,-0.0399,8984.0,9.1032,-0.0259,14.6,2.681,0.6141,17.5,2.8622,0.6874,385561895.0,19.7702,-0.1189,481266023.0,19.9919,-0.132,471.9,6.1568,-0.0443,36010.0,10.4916,-0.0031,140799.0,11.8551,-0.1204,969801.0,13.7848,0.0141,477044.0,13.0754,0.0107,13.1,6.0,4.0,5.7,5.0
2021.0,19405.0,9.8733,0.1677,10415.0,9.251,0.1478,13.6,2.6101,-0.0709,13.8,2.6247,-0.2375,367876361.0,19.7233,-0.0469,738524686.0,20.4202,0.4283,501.4,6.2174,0.0606,39050.0,10.5726,0.081,153720.0,11.9429,0.0878,979983.0,13.7953,0.0105,480898.0,13.0834,0.008,10.7,6.1,3.0,5.6,6.0
2022.0,23880.0,10.0808,0.2075,12456.0,9.43,0.179,10.6,2.3609,-0.2492,11.2,2.4159,-0.2088,432529012.0,19.8852,0.1619,894236965.0,20.6115,0.1913,486.1,6.1864,-0.031,40631.0,10.6123,0.0397,256659.0,12.4555,0.5126,986996.0,13.8024,0.0071,483139.0,13.0881,0.0047,10.0,6.1,3.0,5.8,6.0
2023.0,26404.0,10.1813,0.1005,13890.0,9.5389,0.1089,8.8,2.1748,-0.1861,9.6,2.2618,-0.1541,568716760.0,20.1589,0.2737,785417620.0,20.4817,-0.1298,484.0,6.1821,-0.0043,40251.0,10.6029,-0.0094,43883.0,10.6893,-1.7662,991338.0,13.8068,0.0044,484084.0,13.09,0.0019,11.8,6.3,3.0,6.0,7.0
2024.0,28675.0,10.2638,0.0825,,,,9.7,2.2721,0.0973,11.4,2.4336,0.1718,879144528.0,20.5945,0.4356,823465699.0,20.529,0.0473,570.6,6.3467,0.1646,40038.0,10.5976,-0.0053,151793.0,11.9303,1.241,997930.0,13.8134,0.0066,486042.0,13.0941,0.0041,9.5,6.2,3.0,5.9,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.301827607527418,6.2,5.0,6.0,7.0
