,PIB,VAP,TD,TD A.M.,EXP,IMP,REM,EMP,INV,POB Risaralda,POB Pereira,IPM,IDC,Ranking IDC,Valor normalizado,Posición ranking
PIB,1.0,0.9983597271517353,-0.5546723253348087,-0.5441123520797314,0.1926760178814102,0.9316933821031624,0.8325973941647935,0.9097559686995061,0.5619492951440549,0.9735093892526061,0.9524928683473501,-0.04305785011481996,0.2012722899973596,-0.720948569397121,0.8671122908431482,0.5673548271869719
VAP,0.9983597271517353,1.0,-0.4730885853413694,-0.487735438998638,-0.5042111623764199,0.8994825274478505,0.7312508287354249,0.9374943709762223,0.4421883143516248,0.9591968987722783,0.9524752972952971,-0.0048503112606585784,0.326246642207465,-0.7309884443680853,0.8795815725347951,0.44074035453842736
TD,-0.5546723253348087,-0.4730885853413694,1.0,0.9876517399376772,0.002117946289735291,-0.5796155785322229,-0.13959796853039988,0.08365977411712801,-0.4742172691689929,-0.475930883340903,-0.5211185692710305,-0.08193847206104396,0.1657326965039333,-0.19622792000547085,-0.3914845633690159,-0.907878598318804
TD A.M.,-0.5441123520797314,-0.487735438998638,0.9876517399376772,1.0,0.03489378393110225,-0.6024787503054447,-0.11048786166385587,0.045423017300850355,-0.48029265837176555,-0.4671589404410546,-0.5122387469000085,-0.009696781851774677,0.13201102929922848,-0.07899818494350673,-0.3083773377966802,-0.9097131465002056
EXP,0.1926760178814102,-0.5042111623764199,0.002117946289735291,0.03489378393110225,1.0,0.12597768609915874,0.2143548231275688,0.1241430053728312,-0.3013473499797748,0.034556419686424596,-0.013466532529361076,-0.23710825481110936,0.18476972835768563,-0.34601429638103154,0.6644206050946757,0.5999434496175452
IMP,0.9316933821031624,0.8994825274478505,-0.5796155785322229,-0.6024787503054447,0.12597768609915874,1.0,0.7001519333046674,0.9089809802500551,0.6211757123600942,0.9206916673544069,0.9152121105565587,-0.24754380364307282,0.3437452739587126,-0.8202628119433054,0.575268670095606,0.3817944681366819
REM,0.8325973941647935,0.7312508287354249,-0.13959796853039988,-0.11048786166385587,0.2143548231275688,0.7001519333046674,1.0,0.7792578966367644,0.38433440495043547,0.8544070156720522,0.8668295245736521,-0.5582479971952828,0.4601767605903124,-0.30499782061188685,0.27595836037178745,0.5092308539636555
EMP,0.9097559686995061,0.9374943709762223,0.08365977411712801,0.045423017300850355,0.1241430053728312,0.9089809802500551,0.7792578966367644,1.0,0.24557216548057736,0.9560918598105255,0.9642090873061516,-0.38326708569589174,0.7580178076404955,-0.889812577621306,0.6756249733063697,0.35519795825666767
INV,0.5619492951440549,0.4421883143516248,-0.4742172691689929,-0.48029265837176555,-0.3013473499797748,0.6211757123600942,0.38433440495043547,0.24557216548057736,1.0,0.6125934722232217,0.6361446074328361,-0.1541167567814898,-0.20794657378866666,0.01979953119393635,-0.40693072867909197,-0.31984927774930233
POB Risaralda,0.9735093892526061,0.9591968987722783,-0.475930883340903,-0.4671589404410546,0.034556419686424596,0.9206916673544069,0.8544070156720522,0.9560918598105255,0.6125934722232217,1.0,0.9910336901831348,0.04940162129097063,0.14113004787190625,-0.9212841657541895,0.7946559048269769,0.23920476933454957
POB Pereira,0.9524928683473501,0.9524752972952971,-0.5211185692710305,-0.5122387469000085,-0.013466532529361076,0.9152121105565587,0.8668295245736521,0.9642090873061516,0.6361446074328361,0.9910336901831348,1.0,0.10270872412947471,0.0596138870068909,-0.946361578573238,0.7648948238709197,0.18891975856692494
IPM,-0.04305785011481996,-0.0048503112606585784,-0.08193847206104396,-0.009696781851774677,-0.23710825481110936,-0.24754380364307282,-0.5582479971952828,-0.38326708569589174,-0.1541167567814898,0.04940162129097063,0.10270872412947471,1.0,-0.4092917817149228,0.18169056393918687,-0.23737503992513423,-0.5554005330817808
IDC,0.2012722899973596,0.326246642207465,0.1657326965039333,0.13201102929922848,0.18476972835768563,0.3437452739587126,0.4601767605903124,0.7580178076404955,-0.20794657378866666,0.14113004787190625,0.0596138870068909,-0.4092917817149228,1.0,-0.5364969220493437,0.8249579113843053,0.2594372608313857
Ranking IDC,-0.720948569397121,-0.7309884443680853,-0.19622792000547085,-0.07899818494350673,-0.34601429638103154,-0.8202628119433054,-0.30499782061188685,-0.889812577621306,0.01979953119393635,-0.9212841657541895,-0.946361578573238,0.18169056393918687,-0.5364969220493437,1.0,-0.1011628297778117,0.19088542889273338
Valor normalizado,0.8671122908431482,0.8795815725347951,-0.3914845633690159,-0.3083773377966802,0.6644206050946757,0.575268670095606,0.27595836037178745,0.6756249733063697,-0.40693072867909197,0.7946559048269769,0.7648948238709197,-0.23737503992513423,0.8249579113843053,-0.1011628297778117,1.0,0.4891995904702276
Posición ranking,0.5673548271869719,0.44074035453842736,-0.907878598318804,-0.9097131465002056,0.5999434496175452,0.3817944681366819,0.5092308539636555,0.35519795825666767,-0.31984927774930233,0.23920476933454957,0.18891975856692494,-0.5554005330817808,0.2594372608313857,0.19088542889273338,0.4891995904702276,1.0
