Variable 1,Variable 2,Correlación
Tasa de Desocupación (TD) Risaralda,Tasa de Desocupación (TD) Pereira ]A.M.,0.9713519227775952
PIB a precios corrientes (miles de millones de pesos),Valor Agregado Pereira,0.9517195888511483
Valor Agregado Pereira,Tasa de Desocupación (TD) Pereira ]A.M.,-0.8012633255384689
Valor Agregado Pereira,Tasa de Desocupación (TD) Risaralda,-0.779237519575357
Importaciones (dólares CIF),Total empresas Risaralda,0.7704850495426278
Población Risaralda,Población Pereira,0.7231017509064515
PIB a precios corrientes (miles de millones de pesos),Tasa de Desocupación (TD) Pereira ]A.M.,-0.6970746267093255
PIB a precios corrientes (miles de millones de pesos),Tasa de Desocupación (TD) Risaralda,-0.6820258628274066
Valor Agregado Pereira,Población Pereira,-0.6437822628763038
Exportaciones (dólares FOB),Población Pereira,-0.5611980095934193
