Variable 1,Variable 2,Correlación
PIB a precios corrientes (miles de millones de pesos),Valor Agregado Pereira,0.9983597271517353
AÑO,Población Pereira,0.99609627582481
Población Risaralda,Población Pereira,0.9910336901831348
Tasa de Desocupación (TD) Risaralda,Tasa de Desocupación (TD) Pereira ]A.M.,0.9876517399376772
AÑO,Población Risaralda,0.9814927324928958
PIB a precios corrientes (miles de millones de pesos),Población Risaralda,0.9735093892526061
AÑO,Valor Agregado Pereira,0.9682403881241775
Total empresas Risaralda,Población Pereira,0.9642090873061516
AÑO,Total empresas Risaralda,0.9614265734742964
Valor Agregado Pereira,Población Risaralda,0.9591968987722783
